timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint
8.100,1.3741116523742676,0.7773277163505554,0.5708190202713013,0.17910738289356232,0.0,0.0,-0.17860500514507294,-0.4367341101169586,-1.4372152090072632,-0.634431779384613,0.0,0.0
8.200,1.3730435371398926,0.7875128984451294,0.5676520466804504,0.16380120813846588,0.0,0.0,-0.18514330685138702,-0.43569415807724,-1.429181456565857,-0.6320871114730835,0.0,0.0
8.300,1.38356614112854,0.7906798124313354,0.5668649077415466,0.13400524854660034,0.0,0.0,-0.2148526906967163,-0.43253323435783386,-1.3862870931625366,-0.6276134848594666,0.0,0.0
8.400,1.3882209062576294,0.8087829351425171,0.564013659954071,0.09912193566560745,0.0,0.0,-0.2234327793121338,-0.4277823567390442,-1.3730018138885498,-0.6302434802055359,0.0,0.0
8.500,1.3930163383483887,0.8093510866165161,0.5677109956741333,0.09570188075304031,0.0,0.0,-0.22694702446460724,-0.4322855770587921,-1.3674832582473755,-0.6301138401031494,0.0,0.0
8.600,1.3935604095458984,0.8086165274892535,0.5676609873771667,0.09505065317664828,0.0,0.0,-0.039630034140178155,-0.5159100379262651,-1.2948330215045385,-0.5950489299637931,0.0,0.0
8.700,1.3941044807434082,0.8078819683619908,0.5676109790802002,0.09439942560025624,0.0,0.0,0.14768695618425093,-0.5995344987937382,-1.2221827847617013,-0.5599840198244368,0.0,0.0
8.800,1.394648551940918,0.8071474092347282,0.5675609707832336,0.09374819802386421,0.0,0.0,0.33500394650868004,-0.6831589596612113,-1.1495325480188643,-0.5249191096850804,0.0,0.0
8.900,1.3951926231384277,0.8064128501074654,0.5675109624862671,0.09309697044747216,0.0,0.0,0.5223209368331091,-0.7667834205286843,-1.076882311276027,-0.48985419954572407,0.0,0.0
9.000,1.3957366943359375,0.8056782909802028,0.5674609541893005,0.09244574287108012,0.0,0.0,0.7096379271575383,-0.8504078813961574,-1.00423207453319,-0.4547892894063677,0.0,0.0
9.100,1.3962807655334473,0.8049437318529401,0.567410945892334,0.09179451529468809,0.0,0.0,0.8969549174819673,-0.9340323422636304,-0.931581837790353,-0.4197243792670114,0.0,0.0
9.200,1.396824836730957,0.8042091727256775,0.5673609375953674,0.09114328771829605,0.0,0.0,1.0842719078063965,-1.0176568031311035,-0.8589316010475159,-0.38465946912765503,0.0,0.0
